"state_name","state_abbr","county_name","county_fips","votes_gop_2024","votes_dem_2024","total_votes_2024","per_gop_2024","per_dem_2024","per_point_diff_2024","votes_gop_2020","votes_dem_2020","total_votes_2020","per_gop_2020","per_dem_2020","per_point_diff_2020","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","per_point_diff_2016","total_votes_2012","votes_dem_2012","votes_gop_2012","per_dem_2012","per_gop_2012","per_point_diff_2012"
"Alabama","AL","Autauga County",1001,20484,7439,28190,0.726640652713728,0.263887903511884,0.462752749201845,19838,7503,27770,0.714368023046453,0.270183651422398,0.444184371624055,5908,18110,24661,0.239568549531649,0.73435789302948,-0.494789343497831,23909,6354,17366,0.265757664477812,0.726337362499477,-0.460579698021666
"Alabama","AL","Baldwin County",1003,95798,24934,121808,0.78646722711152,0.204699198738999,0.581768028372521,83544,24578,109679,0.761713728243328,0.22409029987509,0.537623428368238,18409,72780,94090,0.195653098097566,0.773514719948985,-0.577861621851419,84988,18329,65772,0.215665741045795,0.773897491410552,-0.558231750364757
"Alabama","AL","Barbour County",1005,5606,4158,9832,0.570179007323027,0.422904800650936,0.147274206672091,5622,4816,10518,0.534512264689104,0.457881726563986,0.0766305381251188,4848,5431,10390,0.46660250240616,0.522714148219442,-0.056111645813282,11459,5873,5539,0.512522907758094,0.483375512697443,0.029147395060651
"Alabama","AL","Bibb County",1007,7572,1619,9241,0.81939184070988,0.175197489449194,0.644194351260686,7525,1986,9595,0.784262636789995,0.206982803543512,0.577279833246482,1874,6733,8748,0.214220393232739,0.769661636945588,-0.555441243712849,8391,2200,6131,0.262185675128113,0.730663806459302,-0.468478131331188
"Alabama","AL","Blount County",1009,25354,2576,28115,0.901796194202383,0.0916236884225502,0.810172505779833,24711,2640,27588,0.895715528490648,0.0956937799043062,0.800021748586342,2150,22808,25384,0.0846990230066183,0.898518751969745,-0.813819728963126,23980,2961,20741,0.12347789824854,0.864929107589658,-0.741451209341118
"Alabama","AL","Bullock County",1011,1101,2983,4106,0.268144179249878,0.726497808085728,-0.45835362883585,1146,3446,4613,0.248428354649902,0.747019293301539,-0.498590938651637,3530,1139,4701,0.750904062965327,0.242288874707509,0.508615188257817,5318,4058,1250,0.763068822865739,0.235050770966529,0.52801805189921
"Alabama","AL","Butler County",1013,5172,3251,8467,0.610842092830991,0.383961261367663,0.226880831463328,5458,3965,9488,0.575252951096121,0.41789629005059,0.157356661045531,3716,4891,8685,0.427864133563615,0.563154864709269,-0.135290731145653,9483,4367,5081,0.460508277971106,0.535800906886007,-0.0752926289149004
"Alabama","AL","Calhoun County",1015,34912,13194,48530,0.719390067999176,0.271873068205234,0.447516999793942,35101,15216,50983,0.688484396759704,0.298452425318243,0.390031971441461,13197,32803,47376,0.278558763931104,0.692396994258696,-0.413838230327592,46240,15500,30272,0.335207612456747,0.654671280276817,-0.319463667820069
"Alabama","AL","Chambers County",1017,8711,5405,14221,0.612544828071162,0.38007172491386,0.232473103157303,8753,6365,15284,0.572690395184507,0.416448573671814,0.156241821512693,5763,7803,13778,0.418275511685295,0.566337639715488,-0.148062128030193,14562,6853,7596,0.470608432907568,0.521631644004944,-0.0510232110973767
"Alabama","AL","Cherokee County",1019,11358,1553,12984,0.874768946395564,0.119608749229821,0.755160197165742,10583,1624,12301,0.860336558003414,0.132021786846598,0.728314771156817,1524,8809,10503,0.145101399600114,0.838712748738456,-0.693611349138341,9761,2126,7494,0.217805552709763,0.767749206023973,-0.54994365331421
"Alabama","AL","Chilton County",1021,16920,2698,19728,0.857664233576642,0.136759935117599,0.720904298459043,16085,3073,19310,0.832988089073019,0.159140341791818,0.673847747281201,2909,15068,18255,0.159353601752944,0.825417693782525,-0.666064092029581,17434,3391,13910,0.194504990248939,0.797866238384765,-0.603361248135827
"Alabama","AL","Choctaw County",1023,4103,2515,6646,0.617363827866386,0.378423111646103,0.238940716220283,4296,3127,7464,0.57556270096463,0.418944265809218,0.156618435155413,3109,4102,7268,0.427765547605944,0.564391854705559,-0.136626307099615,7965,3785,4150,0.475204017576899,0.521029504080352,-0.0458254865034526
"Alabama","AL","Clarke County",1025,6965,4927,11946,0.583040348233718,0.412439310229365,0.170601038004353,7324,5755,13135,0.557594213932242,0.438142367719833,0.11945184621241,5712,7109,12936,0.441558441558442,0.549551638837353,-0.107993197278912,13827,6317,7463,0.456859767122297,0.539741086280466,-0.0828813191581688
"Alabama","AL","Clay County",1027,5734,993,6757,0.848601450347787,0.146958709486458,0.701642740861329,5601,1267,6930,0.808225108225108,0.182828282828283,0.625396825396825,1234,5230,6572,0.18776628119294,0.795800365185636,-0.608034083992696,6640,1770,4802,0.266566265060241,0.723192771084337,-0.456626506024096
"Alabama","AL","Cleburne County",1029,6988,605,7637,0.915018986513029,0.0792195888437868,0.835799397669242,6484,675,7227,0.897191088971911,0.0933997509339975,0.803791338037913,684,5738,6532,0.104715248009798,0.878444580526638,-0.77372933251684,6302,971,5269,0.154078070453824,0.836083782926055,-0.682005712472231
"Alabama","AL","Coffee County",1031,17495,4601,22270,0.785585990121239,0.206600808262236,0.578985181859003,16899,5076,22275,0.758653198653199,0.227878787878788,0.530774410774411,4194,15825,20513,0.204455711012529,0.771461999707503,-0.567006288694974,19715,4899,14638,0.248490996703018,0.742480344915039,-0.493989348212021
"Alabama","AL","Colbert County",1033,19714,7137,27086,0.727829875212287,0.263494055969874,0.464335819242413,19203,8343,27886,0.688625116545937,0.299182385426379,0.389442731119558,7296,16718,24626,0.296272232599691,0.678875984731585,-0.382603752131893,23374,9160,13931,0.391888423034141,0.596004107127578,-0.204115684093437
"Alabama","AL","Conecuh County",1035,3423,2580,6043,0.566440509680622,0.42694026145954,0.139500248221082,3442,2966,6441,0.534389070020183,0.460487501940692,0.0739015680794908,3069,3413,6543,0.469050894085282,0.521626165367568,-0.0525752712822863,7013,3551,3434,0.506345358619706,0.489662056181377,0.0166833024383289
"Alabama","AL","Coosa County",1037,3758,1478,5264,0.713905775075988,0.280775075987842,0.433130699088146,3631,1796,5479,0.662712173754335,0.327797043256069,0.334915130498266,1780,3376,5223,0.340800306337354,0.646371816963431,-0.305571510626077,5243,2188,3028,0.417318329200839,0.577531947358383,-0.160213618157543
"Alabama","AL","Covington County",1039,14677,2314,17072,0.859711808809747,0.135543580131209,0.724168228678538,14586,2721,17430,0.836833046471601,0.156110154905336,0.680722891566265,2379,13222,15818,0.150398280440005,0.835883171070932,-0.685484890630927,15415,3155,12148,0.204670775218943,0.78806357444048,-0.583392799221537
"Alabama","AL","Crenshaw County",1041,5000,1457,6480,0.771604938271605,0.224845679012346,0.546759259259259,4864,1700,6617,0.735076318573372,0.256914009369805,0.478162309203567,1663,4511,6252,0.265994881637876,0.721529110684581,-0.455534229046705,6411,2048,4326,0.319450943690532,0.674777725783809,-0.355326782093277
"Alabama","AL","Cullman County",1043,38704,4039,43052,0.899005853386602,0.0938167797082598,0.805189073678342,36880,4478,41851,0.881221476189338,0.106998638025376,0.774222838163963,3730,32734,37278,0.100059016041633,0.878105048554107,-0.778046032512474,33178,4855,27930,0.146331906685153,0.841822894689252,-0.695490988004099
